feature	mean_abs_shap
base_-2_D	0.030119928
base_-2_E	0.0
base_-1_D	2.0808358
base_-1_E	0.0
base_1_D	0.8534896
base_1_E	0.0
base_2_D	0.08355305
base_2_E	0.0
base_3_D	0.42513523
base_3_E	0.0
base_4_D	0.025458489
base_4_E	0.0
srd_str_f	0.0010685512
srd_str_h	0.46381456
srd_str_i	0.008731266
srd_str_m	0.0025177489
srd_str_s	0.009424124
srd_str_t	0.0018878459
up2sites_DD	0.077388115
up2sites_DE	0.0
up2sites_ED	1.960492e-05
up2sites_EE	0.03490957
down4sites_DDDD	0.030106012
down4sites_DDDE	0.00378197
down4sites_DDED	0.008210315
down4sites_DDEE	0.005448284
down4sites_DEDD	0.0026223504
down4sites_DEDE	0.0
down4sites_DEED	0.0014736982
down4sites_DEEE	0.023919553
down4sites_EDDD	0.04106552
down4sites_EDDE	0.0
down4sites_EDED	0.0068011647
down4sites_EDEE	0.0019784
down4sites_EEDD	0.00037435838
down4sites_EEDE	0.026605112
down4sites_EEED	0.015510014
down4sites_EEEE	0.15910901
all6sites_DDDDDD	0.0
all6sites_DDDDDE	0.0
all6sites_DDDDED	0.00010871376
all6sites_DDDDEE	0.00034435713
all6sites_DDDEDD	0.0
all6sites_DDDEDE	0.0
all6sites_DDDEED	0.0018493388
all6sites_DDDEEE	0.0
all6sites_DDEDDD	0.00084558636
all6sites_DDEDDE	0.011926246
all6sites_DDEDED	0.0
all6sites_DDEDEE	0.010046566
all6sites_DDEEDD	0.0
all6sites_DDEEDE	0.0
all6sites_DDEEED	0.0
all6sites_DDEEEE	0.00026220945
all6sites_DEDDDD	0.00020073594
all6sites_DEDDDE	0.011755428
all6sites_DEDDED	0.0
all6sites_DEDDEE	0.014469716
all6sites_DEDEDD	0.0003217659
all6sites_DEDEDE	0.0005805534
all6sites_DEDEED	0.0032317208
all6sites_DEDEEE	0.00041921122
all6sites_DEEDDD	0.00023844281
all6sites_DEEDDE	0.012677445
all6sites_DEEDED	0.0037090085
all6sites_DEEDEE	0.0071043246
all6sites_DEEEDD	0.0
all6sites_DEEEDE	0.0002541108
all6sites_DEEEED	0.0
all6sites_DEEEEE	0.0
all6sites_EDDDDD	0.0
all6sites_EDDDDE	0.0
all6sites_EDDDED	0.0027183506
all6sites_EDDDEE	0.01131959
all6sites_EDDEDD	0.0
all6sites_EDDEDE	0.0
all6sites_EDDEED	0.0
all6sites_EDDEEE	0.02998212
all6sites_EDEDDD	0.0
all6sites_EDEDDE	0.008404224
all6sites_EDEDED	0.00047275898
all6sites_EDEDEE	0.05734655
all6sites_EDEEDD	0.002815766
all6sites_EDEEDE	0.022367353
all6sites_EDEEED	0.0002702227
all6sites_EDEEEE	0.0440984
all6sites_EEDDDD	0.00023211855
all6sites_EEDDDE	0.0035999755
all6sites_EEDDED	0.004606401
all6sites_EEDDEE	0.02116293
all6sites_EEDEDD	0.00054339826
all6sites_EEDEDE	0.01142528
all6sites_EEDEED	0.00291619
all6sites_EEDEEE	0.025037266
all6sites_EEEDDD	0.0
all6sites_EEEDDE	0.0027913244
all6sites_EEEDED	0.0
all6sites_EEEDEE	0.040828586
all6sites_EEEEDD	0.00033320088
all6sites_EEEEDE	0.008505419
all6sites_EEEEED	0.00068114756
all6sites_EEEEEE	0.01836406
MFE	0.47518736
