feature	mean_abs_shap
base_-2_D	0.0016699138
base_-2_E	0.0
base_-1_D	0.052629486
base_-1_E	0.0
base_1_D	0.014191083
base_1_E	0.0
base_2_D	0.0036755109
base_2_E	0.00069927704
base_2_T	0.00023016574
base_3_D	0.007316767
base_3_E	0.0
base_4_D	0.0013774573
base_4_E	0.0
srd_str_f	9.577444e-06
srd_str_h	0.013970517
srd_str_i	9.820682e-05
srd_str_m	7.176034e-05
srd_str_s	0.00015957773
srd_str_t	1.332205e-05
up2sites_DD	0.00016013336
up2sites_DE	2.6553242e-05
up2sites_ED	0.0
up2sites_EE	0.0025394254
down4sites_DDDD	0.00012461547
down4sites_DDDE	3.1464046e-05
down4sites_DDED	2.493191e-05
down4sites_DDEE	0.0
down4sites_DEDD	2.7871292e-05
down4sites_DEDE	8.954837e-07
down4sites_DEED	2.1531736e-05
down4sites_DEEE	0.00012342515
down4sites_EDDD	0.00019525256
down4sites_EDDE	2.6958613e-05
down4sites_EDED	0.0005068948
down4sites_EDEE	0.00018508987
down4sites_EEDD	5.918204e-05
down4sites_EEDE	0.0001289592
down4sites_EEED	0.00046953087
down4sites_EEEE	0.0017131912
all6sites_DDDDDD	0.0
all6sites_DDDDDE	0.0
all6sites_DDDDED	2.9018807e-07
all6sites_DDDDEE	0.0
all6sites_DDDEDD	0.0
all6sites_DDDEDE	0.0
all6sites_DDDEED	0.0
all6sites_DDDEEE	0.0
all6sites_DDEDDD	0.0
all6sites_DDEDDE	9.933763e-06
all6sites_DDEDED	1.5219046e-06
all6sites_DDEDEE	1.7129689e-06
all6sites_DDEEDD	0.0
all6sites_DDEEDE	0.0
all6sites_DDEEED	1.4383612e-06
all6sites_DDEEEE	0.0
all6sites_DEDDDD	1.3716659e-05
all6sites_DEDDDE	8.642155e-05
all6sites_DEDDED	0.00014435021
all6sites_DEDDEE	0.00032292854
all6sites_DEDEDD	5.874343e-06
all6sites_DEDEDE	2.0132871e-05
all6sites_DEDEED	7.2762494e-05
all6sites_DEDEEE	6.2308595e-06
all6sites_DEEDDD	3.320825e-06
all6sites_DEEDDE	0.0002528008
all6sites_DEEDED	0.00042512416
all6sites_DEEDEE	0.00012292652
all6sites_DEEEDD	4.8529822e-05
all6sites_DEEEDE	1.4836369e-05
all6sites_DEEEED	0.00018761947
all6sites_DEEEEE	5.42875e-05
all6sites_EDDDDD	0.0
all6sites_EDDDDE	0.0
all6sites_EDDDED	0.0
all6sites_EDDDEE	0.0
all6sites_EDDEDD	0.0
all6sites_EDDEDE	0.0
all6sites_EDDEED	0.0
all6sites_EDDEEE	6.8637586e-05
all6sites_EDEDDD	3.4107413e-06
all6sites_EDEDDE	2.3687659e-05
all6sites_EDEDED	5.317102e-06
all6sites_EDEDEE	0.0012101629
all6sites_EDEEDD	0.0
all6sites_EDEEDE	0.00025880343
all6sites_EDEEED	6.432766e-07
all6sites_EDEEEE	0.0026404283
all6sites_EEDDDD	0.0
all6sites_EEDDDE	4.7819638e-05
all6sites_EEDDED	1.3829007e-05
all6sites_EEDDEE	0.00081118906
all6sites_EEDEDD	1.3939074e-05
all6sites_EEDEDE	0.0003550459
all6sites_EEDEED	0.0
all6sites_EEDEEE	0.0012929545
all6sites_EEEDDD	3.1882983e-06
all6sites_EEEDDE	8.919505e-05
all6sites_EEEDED	1.3482161e-05
all6sites_EEEDEE	0.0005562093
all6sites_EEEEDD	4.2830125e-06
all6sites_EEEEDE	0.0003017959
all6sites_EEEEED	6.806195e-06
all6sites_EEEEEE	0.00068618864
MFE	0.012788971
