feature	mean_abs_shap
base-2	0.0016424895
base_-1	0.053288113
base_1	0.014201127
base_3	0.0075905216
base_4	0.001288583
base_2	0.001648056
srd_str_f	1.0349736e-05
srd_str_h	0.013978445
srd_str_i	9.7611795e-05
srd_str_m	0.0001177438
srd_str_s	0.00026979364
srd_str_t	2.3962933e-05
up2sites_DD	0.00022765144
up2sites_DE	2.017413e-05
up2sites_ED	0.0
up2sites_EE	0.0022954312
down4sites_DDDD	0.00017522
down4sites_DDDE	1.0445993e-05
down4sites_DDED	1.8130602e-05
down4sites_DDEE	3.568254e-05
down4sites_DEDD	3.5263954e-05
down4sites_DEDE	1.2354587e-06
down4sites_DEED	7.759007e-06
down4sites_DEEE	0.00020968086
down4sites_EDDD	0.00022252902
down4sites_EDDE	5.5745884e-05
down4sites_EDED	0.0002603387
down4sites_EDEE	4.0046696e-05
down4sites_EEDD	4.4817207e-05
down4sites_EEDE	0.00016772018
down4sites_EEED	0.0004556972
down4sites_EEEE	0.0017528492
all6sites_DDDDDD	0.0
all6sites_DDDDDE	0.0
all6sites_DDDDED	2.910474e-07
all6sites_DDDDEE	2.4800477e-06
all6sites_DDDEDD	0.0
all6sites_DDDEDE	0.0
all6sites_DDDEED	0.0
all6sites_DDDEEE	0.0
all6sites_DDEDDD	0.0
all6sites_DDEDDE	7.426093e-06
all6sites_DDEDED	2.568219e-06
all6sites_DDEDEE	3.20296e-06
all6sites_DDEEDD	0.0
all6sites_DDEEDE	0.0
all6sites_DDEEED	4.9623636e-06
all6sites_DDEEEE	4.5808197e-06
all6sites_DEDDDD	4.5234924e-06
all6sites_DEDDDE	0.000120076635
all6sites_DEDDED	5.809771e-05
all6sites_DEDDEE	0.00040510244
all6sites_DEDEDD	1.070423e-05
all6sites_DEDEDE	3.636255e-05
all6sites_DEDEED	0.00011432976
all6sites_DEDEEE	2.762832e-06
all6sites_DEEDDD	3.06971e-05
all6sites_DEEDDE	0.00028842967
all6sites_DEEDED	0.00034857745
all6sites_DEEDEE	0.00016843565
all6sites_DEEEDD	6.041678e-05
all6sites_DEEEDE	2.3560358e-05
all6sites_DEEEED	0.00022982557
all6sites_DEEEEE	6.921389e-05
all6sites_EDDDDD	0.0
all6sites_EDDDDE	0.0
all6sites_EDDDED	0.0
all6sites_EDDDEE	2.0270418e-06
all6sites_EDDEDD	0.0
all6sites_EDDEDE	5.333955e-07
all6sites_EDDEED	0.0
all6sites_EDDEEE	7.0675706e-05
all6sites_EDEDDD	0.0
all6sites_EDEDDE	2.0309924e-05
all6sites_EDEDED	1.0203973e-05
all6sites_EDEDEE	0.0011914496
all6sites_EDEEDD	0.0
all6sites_EDEEDE	0.00026800265
all6sites_EDEEED	0.0
all6sites_EDEEEE	0.0026344438
all6sites_EEDDDD	0.0
all6sites_EEDDDE	7.262862e-05
all6sites_EEDDED	6.047307e-05
all6sites_EEDDEE	0.0006835935
all6sites_EEDEDD	3.7760605e-05
all6sites_EEDEDE	0.0003985989
all6sites_EEDEED	0.0
all6sites_EEDEEE	0.001361755
all6sites_EEEDDD	1.1322581e-05
all6sites_EEEDDE	0.00014283987
all6sites_EEEDED	1.3210793e-05
all6sites_EEEDEE	0.00040320936
all6sites_EEEEDD	7.5395033e-06
all6sites_EEEEDE	0.0003424298
all6sites_EEEEED	1.2626397e-05
all6sites_EEEEEE	0.0007906118
MFE	0.0129821785
